82,7 Series,BMW,1999,3MZBM1U72EM017491,Crimson,false
56,Navigator,Lincoln,2000,WBAVB73587P691261,Khaki,false
6,Mustang,Ford,1993,1GYFK56229R004063,Maroon,false
36,G-Series G20,Chevrolet,1994,JHMZF1C69FS930664,Orange,false
68,Xterra,Nissan,2004,3N1AB6AP7BL633567,Puce,true
31,5 Series,BMW,2001,3LN6L2LU5DR273576,Mauv,true
67,G6,Pontiac,2005,5TDBK3EH5CS029269,Goldenrod,true
99,Silhouette,Oldsmobile,1995,1GKKRNED4CJ190301,Maroon,true
89,Sportage,Kia,2009,WAUHFAFL1BA222288,Green,false
54,Diablo,Lamborghini,1997,2HNYD18693H735348,Goldenrod,true
52,525,BMW,2004,YV440MBK2F1887110,Aquamarine,false
44,Legacy,Subaru,2009,1YVHZ8BH2A5632314,Orange,true
66,Concorde,Chrysler,2002,JN8AF5MR5ET361548,Puce,true
23,G-Series G30,Chevrolet,1995,4T1BK1EB4EU901824,Orange,false
37,Cayenne,Porsche,2004,WAURVAFD9CN742376,Goldenrod,false
40,S-Type,Jaguar,2006,WAUUL58E95A523070,Orange,false
32,G-Series G10,Chevrolet,1995,JTDKTUD31DD048973,Crimson,false
78,DB9,Aston Martin,2009,WVGAV7AXXCW183320,Purple,false
73,GT-R,Nissan,2011,2FMGK5BC1BB798581,Turquoise,true
55,GT500,Ford,2008,2D4RN7DG8BR878831,Mauv,false
67,GTI,Volkswagen,2003,TRUSC28N921574918,Orange,true
65,GTO,Pontiac,2006,5GAKRAED8CJ842326,Blue,false
1,iQ,Scion,2012,5GNRNJEE3A8306728,Maroon,true
80,Monte Carlo,Chevrolet,2005,JN8AF5MV3FT076183,Turquoise,true
68,Sonoma,GMC,1996,WBANU535X8C350743,Violet,false
47,Monte Carlo,Chevrolet,2004,WP1AA2A25EL954113,Teal,true
32,Integra,Acura,1988,1FTEX1CM0DK426381,Aquamarine,true
13,Ram 1500,Dodge,2009,1N6AF0LY6EN622694,Orange,true
31,Sequoia,Toyota,2007,WUAUUAFG5F7621415,Orange,true
43,Silverado 2500,Chevrolet,2002,ZFF60FCA0A0541179,Maroon,false
46,Corvette,Chevrolet,1957,KMHEC4A43EA511883,Puce,false
47,Verano,Buick,2012,TRUTX28N821463804,Teal,true
71,100,Audi,1992,JN1CV6EK3AM447026,Green,false
65,EXP,Ford,1986,WUAW2BFC3EN097645,Khaki,true
3,Monaro,Holden,2004,5NPDH4AEXBH177060,Turquoise,true
30,Malibu,Chevrolet,2010,5UXFG8C58AL296086,Green,false
23,Familia,Mazda,1986,3GYEK63N33G041727,Turquoise,true
52,Camry,Toyota,2010,WAUSH78E26A710172,Orange,false
42,LR4,Land Rover,2011,WBAWL73508P536352,Crimson,false
63,5 Series,BMW,2004,WBAYE8C56ED176574,Yellow,false
24,Coupe GT,Audi,1987,1FTWX3B54AE508179,Red,true
53,Colorado,Chevrolet,2008,1GYUKAEF0AR219689,Puce,false
51,Vibe,Pontiac,2005,WA1WKBFP8AA574565,Yellow,true
21,Corolla,Toyota,2012,2G61S5S33D9488068,Indigo,true
48,Galant,Mitsubishi,1987,5UXKR2C59F0047004,Red,true
60,E-Series,Ford,2012,1GKUCFDJ7AR180206,Green,false
80,Accord,Honda,1989,1FAHP3EN6BW761156,Maroon,true
70,Prius Plug-in Hybrid,Toyota,2012,1G4PS5SK8E4145822,Pink,true
45,Genesis Coupe,Hyundai,2011,WAUAF48H97K291467,Mauv,true
77,Milan,Mercury,2008,WAUAFAFL8DA641713,Violet,false
99,GS,Lexus,2010,1FMCU0F76EU132064,Red,false
12,Elise,Lotus,2004,WBA3G7C5XFK208633,Puce,false
32,Sonoma Club Coupe,GMC,1996,1N6AF0LY8FN410199,Mauv,false
89,960,Volvo,1993,WAUEF98E48A983227,Red,true
1,Eclipse,Mitsubishi,2010,WAULT68EX4A410972,Crimson,true
2,Durango,Dodge,1999,1G6DX67D860210222,Mauv,true
83,MX-6,Mazda,1992,KMHHT6KD6CU567402,Purple,false
65,LS Hybrid,Lexus,2012,3GTU1YEJ8BG586511,Mauv,true
2,9-3,Saab,2003,KMHCT4AE3DU097436,Maroon,true
96,Topaz,Mercury,1990,WAUKD98P26A039210,Orange,true
14,G25,Infiniti,2011,2G61S5S38D9714850,Yellow,false
56,Sorento,Kia,2003,WBAEN33482E448285,Puce,true
89,Cougar,Mercury,1988,JN8AS5MT0CW972638,Indigo,false
45,Cavalier,Chevrolet,1995,KL4CJDSB4EB360698,Red,false
64,Express 1500,Chevrolet,1998,WBA3T1C52EP778863,Khaki,true
58,SC,Lexus,1997,WDDJK7DA9EF517270,Turquoise,false
7,CC,Volkswagen,2011,5UMDU93527L020546,Mauv,true
50,Century,Buick,1987,3D7TP2CT2BG842434,Goldenrod,true
31,Tundra,Toyota,2009,5NPDH4AE1FH651905,Yellow,false
66,Eclipse,Mitsubishi,2001,5TDBK3EH0DS841998,Puce,false
47,GTO,Mitsubishi,1992,YV1612FH0E1597436,Pink,true
27,GTO,Pontiac,1969,3D7TT2CT2AG535839,Turquoise,false
21,Murciélago,Lamborghini,2010,1GYFC43539R093342,Indigo,true
97,Taurus,Ford,1990,1FTEW1C80AK745667,Purple,true
83,Rabbit,Volkswagen,2010,1D7RW2GK5BS801965,Turquoise,false
11,Sorento,Kia,2007,2C4RRGAGXER264020,Khaki,true
58,Savana 3500,GMC,2001,1B3CB9HA5BD398778,Maroon,true
65,Lucerne,Buick,2008,1C3BC5EDXAN763225,Green,true
87,CX-7,Mazda,2007,1FADP3E2XFL209459,Purple,false
24,Century,Buick,2003,2C3CCARG8EH556171,Pink,true
92,8 Series,BMW,1993,WBAEP33473P949569,Aquamarine,false
28,Rockette,Fairthorpe,1960,1FTWF3B51AE769367,Goldenrod,true
98,A4,Audi,2008,2C3CCAGG6FH595572,Aquamarine,true
93,Civic,Honda,2009,1FMJK1JT6FE317590,Purple,true
25,A4,Audi,2009,WAUBGAFB6BN241583,Green,true
97,xA,Scion,2004,2V4RW3D17AR748218,Orange,false
10,Z4,BMW,2004,2T1BU4EEXDC375446,Mauv,true
8,Civic,Honda,2000,WA1UFAFL3EA471336,Mauv,true
89,Tracker,Chevrolet,2004,KNDJT2A52C7405189,Orange,true
79,Express 3500,Chevrolet,2002,WVGAV7AX8FW124688,Aquamarine,true
65,Regal,Buick,2000,YV4952CF6E1295074,Indigo,false
3,Sable,Mercury,1997,5YMGZ0C57D0815952,Indigo,true
17,Montero,Mitsubishi,2004,2FMDK3JC1AB079709,Teal,true
69,DB9,Aston Martin,2010,WBAEU334X2K772245,Aquamarine,true
44,Ram Van B250,Dodge,1992,1C6RD6HT3CS236848,Green,true
4,Grand Vitara,Suzuki,2005,WAUEL94F95N319937,Turquoise,false
12,A4,Audi,2006,WA1CFAFP7CA937927,Turquoise,true
64,Optima,Kia,2005,1FBNE3BL3ED032992,Turquoise,false
98,62,Maybach,2003,2T1BU4EE9DC131769,Turquoise,false
82,Ram Van 2500,Dodge,2001,JH4CU4F49AC103774,Violet,true